1478193190.106722,0370,8,00,20,00,00,00,00,00,00,R
1478193190.106960,0350,8,05,20,94,68,77,00,00,ae,R
1478193190.107202,043f,8,10,40,60,ff,78,c3,08,00,R
1478193190.107445,0440,8,ff,00,00,00,ff,c3,08,00,R
1478193190.111184,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.113161,0316,8,05,21,70,09,21,21,00,70,R
1478193190.113406,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.113633,0260,8,19,21,21,30,08,8e,6c,2b,R
1478193190.113866,02a0,8,40,00,95,1c,97,02,bd,00,R
1478193190.114097,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.114351,0430,8,00,00,00,00,00,00,00,00,R
1478193190.114600,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.114848,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.115086,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.115336,0002,8,00,00,00,00,00,08,00,50,R
1478193190.115576,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.116092,0130,8,02,80,00,ff,fa,7f,00,b9,R
1478193190.116327,0131,8,f2,7f,00,00,1a,7f,00,2f,R
1478193190.116571,0140,8,00,00,00,00,06,02,20,10,R
1478193190.116820,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.117055,0350,8,05,20,a4,68,77,00,00,9e,R
1478193190.117305,0370,8,00,20,00,00,00,00,00,00,R
1478193190.117546,043f,8,10,40,60,ff,78,c4,08,00,R
1478193190.117792,0440,8,ff,00,00,00,ff,c4,08,00,R
1478193190.120008,00a0,8,5c,84,70,09,00,1f,02,00,R
1478193190.120247,00a1,8,85,87,00,00,24,00,00,00,R
1478193190.123091,0316,8,05,21,70,09,21,21,00,70,R
1478193190.123327,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.123558,0260,8,19,21,21,30,08,8e,6b,3d,R
1478193190.123810,0002,8,00,00,00,00,00,08,01,4d,R
1478193190.124047,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.124279,02a0,8,60,00,95,1c,97,02,bd,00,R
1478193190.124512,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.124753,0545,8,d8,00,00,8b,00,00,00,00,R
1478193190.125091,0130,8,01,80,00,ff,ec,7f,01,5e,R
1478193190.125329,0131,8,fb,7f,00,00,0b,7f,01,2a,R
1478193190.125573,0140,8,00,00,00,00,08,05,21,fd,R
1478193190.126272,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.126536,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.126786,0370,8,00,20,00,00,00,00,00,00,R
1478193190.127022,0350,8,05,20,b4,68,77,00,00,8e,R
1478193190.127271,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.131018,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.133059,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.133303,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.133531,0260,8,19,21,21,30,08,8e,6b,0a,R
1478193190.133767,02a0,8,00,00,95,1c,97,02,bd,00,R
1478193190.133999,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.134253,0430,8,00,00,00,00,00,00,00,00,R
1478193190.134501,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.134750,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.134988,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.135234,0002,8,00,00,00,00,00,08,02,6a,R
1478193190.135472,0545,8,d8,5f,00,8b,00,00,00,00,R
1478193190.135608,05f0,2,01,00,R
1478193190.136079,0130,8,06,80,00,ff,0e,80,02,25,R
1478193190.136319,0131,8,12,80,00,00,19,7f,02,80,R
1478193190.136558,0140,8,00,00,00,00,0a,12,22,94,R
1478193190.136809,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.137047,0350,8,05,20,c4,68,77,00,00,fe,R
1478193190.137297,0370,8,00,20,00,00,00,00,00,00,R
1478193190.137539,043f,8,10,40,60,ff,78,c0,08,00,R
1478193190.137787,0440,8,ff,00,00,00,ff,c0,08,00,R
1478193190.140424,0690,8,00,00,00,00,a0,02,00,00,R
1478193190.143034,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.143266,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.143493,0260,8,19,21,21,30,08,8e,6b,1b,R
1478193190.143739,0002,8,00,00,00,00,00,08,03,77,R
1478193190.143977,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.144216,0130,8,0b,80,00,ff,35,80,03,76,R
1478193190.144456,0131,8,1b,80,00,00,2d,7f,03,3c,R
1478193190.144696,0140,8,00,00,00,00,0c,14,23,39,R
1478193190.144930,02a0,8,20,00,95,1c,97,02,bd,00,R
1478193190.145162,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.145404,0545,8,d8,00,00,8b,00,00,00,00,R
1478193190.146257,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.146499,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.146749,0370,8,00,20,00,00,00,00,00,00,R
1478193190.146987,0350,8,05,20,d4,68,77,00,00,ee,R
1478193190.147234,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.151049,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.153155,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.153397,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.153624,0260,8,19,21,21,30,08,8e,6c,2b,R
1478193190.153857,02a0,8,40,00,95,1c,97,02,bd,00,R
1478193190.154095,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.154344,0430,8,00,00,00,00,00,00,00,00,R
1478193190.154592,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.154841,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.155077,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.155328,0002,8,00,00,00,00,00,08,04,24,R
1478193190.155567,0545,8,d8,00,00,8c,00,00,00,00,R
1478193190.156083,0130,8,10,80,00,ff,43,80,04,e4,R
1478193190.156320,0131,8,0e,80,00,00,40,7f,04,37,R
1478193190.156560,0140,8,00,00,00,00,0e,33,24,e5,R
1478193190.156810,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.157045,0350,8,05,20,e4,68,77,00,00,de,R
1478193190.157294,0370,8,00,20,00,00,00,00,00,00,R
1478193190.157535,043f,8,10,40,60,ff,78,c5,08,00,R
1478193190.157779,0440,8,ff,00,00,00,ff,c5,08,00,R
1478193190.163036,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.163278,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.163508,0260,8,19,21,21,30,08,8e,6b,3d,R
1478193190.163754,0002,8,00,00,00,00,00,08,05,39,R
1478193190.163993,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.164233,0130,8,0d,80,00,ff,28,80,05,76,R
1478193190.164469,0131,8,f2,7f,00,00,4a,7f,05,3e,R
1478193190.164711,0140,8,00,00,00,00,10,02,25,64,R
1478193190.164942,02a0,8,60,00,95,1c,97,02,bd,00,R
1478193190.165174,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.165414,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.166242,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.166544,043f,8,10,40,60,ff,78,c4,08,00,R
1478193190.166794,0370,8,00,20,00,00,00,00,00,00,R
1478193190.167030,0350,8,05,20,f4,68,77,00,00,ce,R
1478193190.167274,0440,8,ff,00,00,00,ff,c4,08,00,R
1478193190.171214,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.172994,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.173237,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.173466,0260,8,19,21,21,30,08,8e,6b,0a,R
1478193190.173702,02a0,8,00,00,95,1c,97,02,bd,00,R
1478193190.173934,0329,8,dc,bb,7f,14,11,20,00,14,R
1478193190.174188,0430,8,00,00,00,00,00,00,00,00,R
1478193190.174436,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.174685,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.174923,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.175169,0002,8,00,00,00,00,00,08,06,1e,R
1478193190.175409,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.176090,0130,8,03,80,00,ff,06,80,06,69,R
1478193190.176329,0131,8,e0,7f,00,00,53,7f,06,81,R
1478193190.176573,0140,8,00,00,00,00,12,0f,26,7b,R
1478193190.176824,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.177064,0350,8,05,20,04,68,77,00,00,3e,R
1478193190.177314,0370,8,00,20,00,00,00,00,00,00,R
1478193190.177554,043f,8,10,40,60,ff,78,c1,08,00,R
1478193190.177799,0440,8,ff,00,00,00,ff,c1,08,00,R
1478193190.183084,0316,8,05,21,70,09,21,21,00,70,R
1478193190.183325,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.183575,0002,8,00,00,00,00,00,08,07,03,R
1478193190.183812,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.184040,0260,8,19,21,21,30,08,8e,6b,1b,R
1478193190.184276,0130,8,ff,7f,00,ff,10,80,07,72,R
1478193190.184517,0131,8,e9,7f,00,00,52,7f,07,9c,R
1478193190.184758,0140,8,00,00,00,00,14,13,27,a0,R
1478193190.184992,02a0,8,20,00,95,1c,97,02,bd,00,R
1478193190.185227,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.185465,0545,8,d8,5f,00,8b,00,00,00,00,R
1478193190.185604,05f0,2,01,00,R
1478193190.186226,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.186543,043f,8,10,40,60,ff,78,c0,08,00,R
1478193190.186794,0370,8,00,20,00,00,00,00,00,00,R
1478193190.187029,0350,8,05,20,14,68,77,00,00,2e,R
1478193190.187276,0440,8,ff,00,00,00,ff,c0,08,00,R
1478193190.191031,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.193107,0316,8,05,21,70,09,21,21,00,70,R
1478193190.193350,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.193577,0260,8,19,21,21,30,08,8e,6c,2b,R
1478193190.193809,02a0,8,40,00,95,1c,97,02,bd,00,R
1478193190.194043,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.194297,0430,8,00,00,00,00,00,00,00,00,R
1478193190.194546,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.194794,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.195032,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.195280,0002,8,00,00,00,00,00,08,08,b8,R
1478193190.195522,0545,8,d8,00,00,8b,00,00,00,00,R
1478193190.196077,0130,8,fe,7f,00,ff,3a,80,08,ab,R
1478193190.196318,0131,8,00,80,00,00,41,7f,08,25,R
1478193190.196561,0140,8,00,00,00,00,16,03,28,ac,R
1478193190.196811,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.197045,0350,8,05,20,24,68,77,00,00,1e,R
1478193190.197295,0370,8,00,20,00,00,00,00,00,00,R
1478193190.197535,043f,8,10,40,60,ff,78,c1,08,00,R
1478193190.197780,0440,8,ff,00,00,00,ff,c1,08,00,R
1478193190.203005,0316,8,05,21,70,09,21,21,00,70,R
1478193190.203246,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.203473,0260,8,19,21,21,30,08,8e,6d,3b,R
1478193190.203721,0002,8,00,00,00,00,00,08,09,a5,R
1478193190.203959,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.204200,0130,8,02,80,00,ff,44,80,09,ec,R
1478193190.204438,0131,8,17,80,00,00,2d,7f,09,55,R
1478193190.204680,0140,8,00,00,00,00,18,08,29,36,R
1478193190.204912,02a0,8,60,00,95,1c,97,02,bd,00,R
1478193190.205146,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.205386,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.206206,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.206541,043f,8,10,40,60,ff,78,c4,08,00,R
1478193190.206791,0370,8,00,20,00,00,00,00,00,00,R
1478193190.207033,0350,8,05,20,34,68,77,00,00,0e,R
1478193190.207272,0440,8,ff,00,00,00,ff,c4,08,00,R
1478193190.211118,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.213257,0316,8,05,21,70,09,21,21,00,70,R
1478193190.213495,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.213729,0260,8,19,21,21,30,08,8e,6c,09,R
1478193190.213965,02a0,8,00,00,95,1c,97,02,bd,00,R
1478193190.214199,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.214453,0430,8,00,00,00,00,00,00,00,00,R
1478193190.214703,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.214949,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.215187,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.215436,0002,8,00,00,00,00,00,08,0a,82,R
1478193190.215676,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.216077,0130,8,0b,80,00,ff,22,80,0a,11,R
1478193190.216318,0131,8,20,80,00,00,11,7f,0a,08,R
1478193190.216557,0140,8,00,00,00,00,1a,33,2a,5d,R
1478193190.216810,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.217047,0350,8,05,20,44,68,77,00,00,7e,R
1478193190.217296,0370,8,00,20,00,00,00,00,00,00,R
1478193190.217536,043f,8,10,40,60,ff,78,c5,08,00,R
1478193190.217781,0440,8,ff,00,00,00,ff,c5,08,00,R
1478193190.219809,00a0,8,5c,84,70,09,00,1f,02,00,R
1478193190.220048,00a1,8,85,87,00,00,24,00,00,00,R
1478193190.223049,0316,8,05,21,70,09,21,21,00,70,R
1478193190.223290,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.223519,0260,8,19,21,21,30,08,8e,6c,1a,R
1478193190.223767,0002,8,00,00,00,00,00,08,0b,9f,R
1478193190.224006,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.224246,0130,8,0f,80,00,ff,08,80,0b,5a,R
1478193190.224482,0131,8,12,80,00,00,09,7f,0b,6d,R
1478193190.224722,0140,8,00,00,00,00,1c,07,2b,a9,R
1478193190.224956,02a0,8,20,00,95,1c,97,02,bd,00,R
1478193190.225190,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.225431,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.226189,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.226553,043f,8,10,40,60,ff,78,c5,08,00,R
1478193190.226803,0370,8,00,20,00,00,00,00,00,00,R
1478193190.227039,0350,8,05,20,54,68,77,00,00,6e,R
1478193190.227283,0440,8,ff,00,00,00,ff,c5,08,00,R
1478193190.231212,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.233079,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.233322,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.233552,0260,8,19,21,21,30,08,8e,6c,2b,R
1478193190.233785,02a0,8,40,00,95,1c,97,02,bd,00,R
1478193190.234019,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.234273,0430,8,00,00,00,00,00,00,00,00,R
1478193190.234521,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.234769,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.235007,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.235257,0002,8,00,00,00,00,00,08,0c,cc,R
1478193190.235495,0545,8,d8,5f,00,8b,00,00,00,00,R
1478193190.235633,05f0,2,01,00,R
1478193190.236088,0130,8,0b,80,00,ff,0f,80,0c,ea,R
1478193190.236324,0131,8,f2,7f,00,00,15,7f,0c,35,R
1478193190.236565,0140,8,00,00,00,00,1e,0d,2c,3b,R
1478193190.236815,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.237050,0350,8,05,20,64,68,77,00,00,5e,R
1478193190.237300,0370,8,00,20,00,00,00,00,00,00,R
1478193190.237540,043f,8,10,40,60,ff,78,c3,08,00,R
1478193190.237785,0440,8,ff,00,00,00,ff,c3,08,00,R
1478193190.240414,0690,8,00,00,00,00,a0,02,00,00,R
1478193190.242966,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.243206,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.243436,0260,8,19,21,21,30,08,8e,6c,3c,R
1478193190.243684,0002,8,00,00,00,00,00,08,0d,d1,R
1478193190.243922,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.244167,0130,8,07,80,00,ff,28,80,0d,f6,R
1478193190.244400,0131,8,e9,7f,00,00,26,7f,0d,00,R
1478193190.244642,0140,8,00,00,00,00,20,02,2d,a4,R
1478193190.244875,02a0,8,60,00,95,1c,97,02,bd,00,R
1478193190.245109,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.245351,0545,8,d8,00,00,8b,00,00,00,00,R
1478193190.246169,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.246511,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.246762,0370,8,00,20,00,00,00,00,00,00,R
1478193190.246996,0350,8,05,20,74,68,77,00,00,4e,R
1478193190.247242,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.250926,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.252951,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.253191,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.253423,0260,8,19,21,22,30,08,8e,6c,08,R
1478193190.253659,02a0,8,00,00,95,1c,97,02,bd,00,R
1478193190.253893,0329,8,0c,bb,7f,14,11,20,00,14,R
1478193190.254147,0430,8,00,00,00,00,00,00,00,00,R
1478193190.254396,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.254645,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.254883,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.255128,0002,8,00,00,00,00,00,08,0e,f6,R
1478193190.255370,0545,8,d8,00,00,8c,00,00,00,00,R
1478193190.256077,0130,8,02,80,00,ff,33,80,0e,7d,R
1478193190.256309,0131,8,f2,7f,00,00,3a,7f,0e,b9,R
1478193190.256551,0140,8,00,00,00,00,22,08,2e,42,R
1478193190.256801,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.257037,0350,8,05,20,84,68,77,00,00,be,R
1478193190.257288,0370,8,00,20,00,00,00,00,00,00,R
1478193190.257528,043f,8,10,40,60,ff,78,c4,08,00,R
1478193190.257772,0440,8,ff,00,00,00,ff,c4,08,00,R
1478193190.263021,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.263256,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.263488,0260,8,19,21,22,30,08,8e,6c,19,R
1478193190.263736,0002,8,00,00,00,00,00,08,0f,eb,R
1478193190.263978,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.264214,0130,8,02,80,00,ff,24,80,0f,f2,R
1478193190.264459,0131,8,00,80,00,00,3a,7f,0f,be,R
1478193190.264703,0140,8,00,00,00,00,24,00,2f,00,R
1478193190.264937,02a0,8,20,00,95,1c,97,02,bd,00,R
1478193190.265176,0329,8,40,bb,7f,14,11,20,00,14,R
1478193190.265416,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.266349,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.266603,0370,8,00,20,00,00,00,00,00,00,R
1478193190.266839,0350,8,05,20,94,68,77,00,00,ae,R
1478193190.267078,043f,8,10,40,60,ff,78,c3,08,00,R
1478193190.267322,0440,8,ff,00,00,00,ff,c3,08,00,R
1478193190.271361,04f0,8,00,00,00,80,00,67,d1,13,R
1478193190.273049,0316,8,05,21,6c,09,21,21,00,70,R
1478193190.273294,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.273522,0260,8,19,21,22,30,08,8e,6c,2a,R
1478193190.273754,02a0,8,40,00,95,1c,97,02,bd,00,R
1478193190.273994,0329,8,40,bb,7f,14,11,20,00,14,R
1478193190.274246,0430,8,00,00,00,00,00,00,00,00,R
1478193190.274495,04b1,8,00,00,00,00,00,00,00,00,R
1478193190.274743,01f1,8,08,00,00,00,00,00,00,00,R
1478193190.274980,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.275231,0002,8,00,00,00,00,00,09,00,1c,R
1478193190.275470,0545,8,d8,00,00,8a,00,00,00,00,R
1478193190.276084,0130,8,01,80,00,ff,13,80,00,0c,R
1478193190.276324,0131,8,fb,7f,00,00,38,7f,00,93,R
1478193190.276568,0140,8,00,00,00,00,02,27,20,02,R
1478193190.276817,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.277051,0350,8,05,20,a4,68,77,00,00,9e,R
1478193190.277302,0370,8,00,20,00,00,00,00,00,00,R
1478193190.277543,043f,8,10,40,60,ff,78,c2,08,00,R
1478193190.277790,0440,8,ff,00,00,00,ff,c2,08,00,R
1478193190.282952,0316,8,05,21,74,09,21,21,00,70,R
1478193190.283192,018f,8,fe,50,00,00,00,3c,00,00,R
1478193190.283420,0260,8,19,21,22,30,08,8e,6c,3b,R
1478193190.283670,0002,8,00,00,00,00,00,09,01,01,R
1478193190.283908,0153,8,00,21,10,ff,00,ff,00,00,R
1478193190.284150,0130,8,01,80,00,ff,1f,80,01,1b,R
1478193190.284390,0131,8,fb,7f,00,00,3d,7f,01,07,R
1478193190.284634,0140,8,00,00,00,00,04,20,21,e3,R
1478193190.284867,02a0,8,60,00,95,1c,97,02,bd,00,R
1478193190.285105,0329,8,40,bb,7f,14,11,20,00,14,R
1478193190.285343,0545,8,d8,5f,00,8d,00,00,00,00,R
1478193190.285481,05f0,2,01,00,R
1478193190.286143,02c0,8,15,00,00,00,00,00,00,00,R
1478193190.286490,043f,8,10,40,60,ff,78,c1,08,00,R
1478193190.286741,0370,8,00,20,00,00,00,00,00,00,R
1478193190.286975,0350,8,05,20,b4,68,77,00,00,8e,R
